category,New cases,7-day average,Total cases,ratio
Thu Jan 30 2020,1,0,2,
Fri Jan 31 2020,0,0,2,0
Mon Feb 03 2020,1,0,3,inf
Tue Feb 04 2020,0,0,3,0
Wed Feb 05 2020,0,0,3,
Thu Feb 06 2020,0,0,3,
Sat Feb 08 2020,0,0,3,
Mon Feb 10 2020,0,0,3,
Tue Feb 11 2020,0,0,3,
Wed Feb 12 2020,0,0,3,
Thu Feb 13 2020,0,0,3,
Fri Feb 14 2020,0,0,3,
Mon Feb 17 2020,0,0,3,
Tue Feb 18 2020,0,0,3,
Wed Feb 19 2020,0,0,3,
Thu Feb 20 2020,0,0,3,
Fri Feb 21 2020,0,0,3,
Mon Feb 24 2020,1,0,4,inf
Tue Feb 25 2020,0,0,4,0
Wed Feb 26 2020,0,0,4,
Thu Feb 27 2020,1,0,5,inf
Fri Feb 28 2020,1,0,6,1
Mon Mar 02 2020,12,2,18,12
Tue Mar 03 2020,2,2,20,0.166666667
Wed Mar 04 2020,0,2,20,0
Thu Mar 05 2020,2,3,22,inf
Fri Mar 06 2020,4,3,26,2
Sat Mar 07 2020,2,3,28,0.5
Sun Mar 08 2020,1,3,29,0.5
Mon Mar 09 2020,6,2,35,6
Tue Mar 10 2020,1,2,36,0.166666667
Wed Mar 11 2020,6,3,42,6
Thu Mar 12 2020,17,5,59,2.833333333
Fri Mar 13 2020,20,8,79,1.176470588
Sat Mar 14 2020,24,11,103,1.2
Sun Mar 15 2020,42,17,145,1.75
Mon Mar 16 2020,32,20,177,0.761904762
Tue Mar 17 2020,12,22,189,0.375
Wed Mar 18 2020,25,25,214,2.083333333
Thu Mar 19 2020,44,28,258,1.76
Fri Mar 20 2020,60,34,318,1.363636364
Sat Mar 21 2020,59,39,377,0.983333333
Sun Mar 22 2020,48,40,425,0.813559322
Mon Mar 23 2020,78,47,503,1.625
Tue Mar 24 2020,85,57,588,1.08974359
Wed Mar 25 2020,100,68,688,1.176470588
Thu Mar 26 2020,170,86,858,1.7
Fri Mar 27 2020,135,96,993,0.794117647
Sat Mar 28 2020,151,110,1144,1.118518519
Sun Mar 29 2020,211,133,1355,1.397350993
Mon Mar 30 2020,351,172,1706,1.663507109
Tue Mar 31 2020,260,197,1966,0.740740741
Wed Apr 01 2020,426,243,2392,1.638461538
Thu Apr 02 2020,401,276,2793,0.941314554
Fri Apr 03 2020,462,323,3255,1.152119701
Sat Apr 04 2020,375,355,3630,0.811688312
Sun Apr 05 2020,408,383,4038,1.088
Mon Apr 06 2020,309,377,4347,0.757352941
Tue Apr 07 2020,379,394,4726,1.226537217
Wed Apr 08 2020,550,412,5276,1.451187335
Thu Apr 09 2020,483,424,5759,0.878181818
Fri Apr 10 2020,478,426,6237,0.989648033
Sat Apr 11 2020,411,431,6648,0.859832636
Sun Apr 12 2020,401,430,7049,0.9756691
Mon Apr 13 2020,421,446,7470,1.049875312
Tue Apr 14 2020,483,461,7953,1.147268409
Wed Apr 15 2020,494,453,8447,1.022774327
Thu Apr 16 2020,514,457,8961,1.04048583
Fri Apr 17 2020,564,470,9525,1.097276265
Sat Apr 18 2020,485,480,10010,0.859929078
Sun Apr 19 2020,568,504,10578,1.171134021
Mon Apr 20 2020,606,531,11184,1.066901408
Tue Apr 21 2020,551,540,11735,0.909240924
Wed Apr 22 2020,510,543,12245,0.925589837
Thu Apr 23 2020,634,560,12879,1.243137255
Fri Apr 24 2020,640,571,13519,1.009463722
Sat Apr 25 2020,476,569,13995,0.74375
Sun Apr 26 2020,437,551,14432,0.918067227
Mon Apr 27 2020,424,525,14856,0.970251716
Tue Apr 28 2020,525,521,15381,1.238207547
Wed Apr 29 2020,347,498,15728,0.660952381
Thu Apr 30 2020,459,473,16187,1.322766571
Fri May 01 2020,421,441,16608,0.917211329
Sat May 02 2020,511,446,17119,1.213776722
Sun May 03 2020,434,446,17553,0.849315068
Mon May 04 2020,370,438,17923,0.852534562
Tue May 05 2020,387,418,18310,1.045945946
Wed May 06 2020,412,428,18722,1.064599483
Thu May 07 2020,399,419,19121,0.968446602
Fri May 08 2020,477,427,19598,1.195488722
Sat May 09 2020,346,404,19944,0.725366876
Sun May 10 2020,294,384,20238,0.849710983
Mon May 11 2020,308,375,20546,1.047619048
Tue May 12 2020,361,371,20907,1.172077922
Wed May 13 2020,329,359,21236,0.911357341
Thu May 14 2020,345,351,21581,1.048632219
Fri May 15 2020,341,332,21922,0.988405797
Sat May 16 2020,391,338,22313,1.146627566
Sun May 17 2020,340,345,22653,0.869565217
Mon May 18 2020,304,344,22957,0.894117647
Tue May 19 2020,427,354,23384,1.404605263
Wed May 20 2020,390,363,23774,0.913348946
Thu May 21 2020,413,372,24187,1.058974359
Fri May 22 2020,441,387,24628,1.06779661
Sat May 23 2020,412,390,25040,0.934240363
Sun May 24 2020,460,407,25500,1.116504854
Mon May 25 2020,404,421,25904,0.87826087
Tue May 26 2020,287,401,26191,0.71039604
Wed May 27 2020,292,387,26483,1.017421603
Thu May 28 2020,383,383,26866,1.311643836
Fri May 29 2020,344,369,27210,0.898172324
Sat May 30 2020,323,356,27533,0.938953488
Sun May 31 2020,326,337,27859,1.009287926
Mon Jun 01 2020,404,337,28263,1.239263804
Tue Jun 02 2020,446,360,28709,1.103960396
Wed Jun 03 2020,338,366,29047,0.757847534
Thu Jun 04 2020,356,362,29403,1.053254438
Fri Jun 05 2020,344,362,29747,0.966292135
Sat Jun 06 2020,455,381,30202,1.322674419
Sun Jun 07 2020,415,394,30617,0.912087912
Mon Jun 08 2020,243,371,30860,0.585542169
Tue Jun 09 2020,230,340,31090,0.946502058
Wed Jun 10 2020,251,328,31341,1.091304348
Thu Jun 11 2020,203,306,31544,0.80876494
Fri Jun 12 2020,182,283,31726,0.896551724
Sat Jun 13 2020,266,256,31992,1.461538462
Sun Jun 14 2020,197,225,32189,0.740601504
Mon Jun 15 2020,181,216,32370,0.918781726
Tue Jun 16 2020,184,209,32554,1.016574586
Wed Jun 17 2020,190,200,32744,1.032608696
Thu Jun 18 2020,173,196,32917,0.910526316
Fri Jun 19 2020,178,196,33095,1.028901734
Sat Jun 20 2020,206,187,33301,1.157303371
Sun Jun 21 2020,175,184,33476,0.849514563
Mon Jun 22 2020,161,181,33637,0.92
Tue Jun 23 2020,216,186,33853,1.341614907
Wed Jun 24 2020,163,182,34016,0.75462963
Thu Jun 25 2020,189,184,34205,1.159509202
Fri Jun 26 2020,111,174,34316,0.587301587
Sat Jun 27 2020,160,168,34476,1.441441441
Sun Jun 28 2020,178,168,34654,1.1125
Mon Jun 29 2020,257,182,34911,1.443820225
Tue Jun 30 2020,157,174,35068,0.610894942
Wed Jul 01 2020,149,172,35217,0.949044586
Thu Jul 02 2020,153,166,35370,1.026845638
Fri Jul 03 2020,165,174,35535,1.078431373
Sat Jul 04 2020,121,169,35656,0.733333333
Sun Jul 05 2020,138,163,35794,1.140495868
Mon Jul 06 2020,154,148,35948,1.115942029
Tue Jul 07 2020,112,142,36060,0.727272727
Wed Jul 08 2020,118,137,36178,1.053571429
Thu Jul 09 2020,170,140,36348,1.440677966
Fri Jul 10 2020,116,133,36464,0.682352941
Sat Jul 11 2020,130,134,36594,1.120689655
Sun Jul 12 2020,129,133,36723,0.992307692
Mon Jul 13 2020,116,127,36839,0.899224806
Tue Jul 14 2020,111,127,36950,0.956896552
Wed Jul 15 2020,102,125,37052,0.918918919
Thu Jul 16 2020,111,116,37163,1.088235294
Fri Jul 17 2020,111,116,37274,1
Sat Jul 18 2020,166,121,37440,1.495495495
Sun Jul 19 2020,164,126,37604,0.987951807
Mon Jul 20 2020,135,129,37739,0.823170732
Tue Jul 21 2020,203,142,37942,1.503703704
Wed Jul 22 2020,165,151,38107,0.812807882
Thu Jul 23 2020,103,150,38210,0.624242424
Fri Jul 24 2020,195,162,38405,1.893203883
Sat Jul 25 2020,138,158,38543,0.707692308
Sun Jul 26 2020,137,154,38680,0.992753623
Mon Jul 27 2020,119,151,38799,0.868613139
Tue Jul 28 2020,111,138,38910,0.932773109
Wed Jul 29 2020,76,126,38986,0.684684685
Thu Jul 30 2020,89,124,39075,1.171052632
Fri Jul 31 2020,134,115,39209,1.505617978
Sat Aug 01 2020,124,113,39333,0.925373134
Sun Aug 02 2020,116,110,39449,0.935483871
Mon Aug 03 2020,88,105,39537,0.75862069
Tue Aug 04 2020,91,103,39628,1.034090909
Wed Aug 05 2020,86,104,39714,0.945054945
Thu Aug 06 2020,95,105,39809,1.104651163
Fri Aug 07 2020,88,98,39897,0.926315789
Sat Aug 08 2020,70,91,39967,0.795454545
Sun Aug 09 2020,79,85,40046,1.128571429
Mon Aug 10 2020,115,89,40161,1.455696203
Tue Aug 11 2020,33,81,40194,0.286956522
Wed Aug 12 2020,95,82,40289,2.878787879
Thu Aug 13 2020,78,80,40367,0.821052632
Fri Aug 14 2020,92,80,40459,1.179487179
Sat Aug 15 2020,106,85,40565,1.152173913
Sun Aug 16 2020,81,86,40646,0.764150943
Mon Aug 17 2020,99,83,40745,1.222222222
Tue Aug 18 2020,125,97,40870,1.262626263
Wed Aug 19 2020,102,98,40972,0.816
Thu Aug 20 2020,76,97,41048,0.745098039
Fri Aug 21 2020,131,103,41179,1.723684211
Sat Aug 22 2020,108,103,41287,0.824427481
Sun Aug 23 2020,115,108,41402,1.064814815
Mon Aug 24 2020,105,109,41507,0.913043478
Tue Aug 25 2020,100,105,41607,0.952380952
Wed Aug 26 2020,88,103,41695,0.88
Thu Aug 27 2020,118,109,41813,1.340909091
Fri Aug 28 2020,122,108,41935,1.033898305
Sat Aug 29 2020,148,114,42083,1.213114754
Sun Aug 30 2020,112,113,42195,0.756756757
Mon Aug 31 2020,114,115,42309,1.017857143
Tue Sep 01 2020,112,116,42421,0.98245614
Wed Sep 02 2020,133,123,42554,1.1875
Thu Sep 03 2020,132,125,42686,0.992481203
Fri Sep 04 2020,148,128,42834,1.121212121
Sat Sep 05 2020,169,131,43003,1.141891892
Sun Sep 06 2020,158,138,43161,0.934911243
Mon Sep 07 2020,190,149,43351,1.202531646
Tue Sep 08 2020,185,159,43536,0.973684211
Wed Sep 09 2020,149,162,43685,0.805405405
Thu Sep 10 2020,170,167,43855,1.140939597
Fri Sep 11 2020,213,176,44068,1.252941176
Sat Sep 12 2020,232,185,44300,1.089201878
Sun Sep 13 2020,204,192,44504,0.879310345
Mon Sep 14 2020,313,209,44817,1.534313725
Tue Sep 15 2020,251,219,45068,0.801916933
Wed Sep 16 2020,315,243,45383,1.25498008
Thu Sep 17 2020,293,260,45676,0.93015873
Fri Sep 18 2020,401,287,46077,1.368600683
Sat Sep 19 2020,407,312,46484,1.014962594
Sun Sep 20 2020,365,335,46849,0.896805897
Mon Sep 21 2020,425,351,47274,1.164383562
Tue Sep 22 2020,478,383,47752,1.124705882
Wed Sep 23 2020,335,386,48087,0.70083682
Thu Sep 24 2020,409,403,48496,1.220895522
Fri Sep 25 2020,409,404,48905,1
Sat Sep 26 2020,435,408,49340,1.063569682
Sun Sep 27 2020,491,426,49831,1.128735632
Mon Sep 28 2020,700,465,50531,1.425661914
Tue Sep 29 2020,554,476,51085,0.791428571
Wed Sep 30 2020,625,518,51710,1.128158845
Thu Oct 01 2020,538,536,52248,0.8608
Fri Oct 02 2020,732,582,52980,1.360594796
Sat Oct 03 2020,653,613,53633,0.892076503
Sun Oct 04 2020,566,624,54199,0.86676876
Mon Oct 05 2020,615,612,54814,1.086572438
Tue Oct 06 2020,548,611,55362,0.891056911
Wed Oct 07 2020,583,605,55945,1.063868613
Thu Oct 08 2020,797,642,56742,1.367066895
Fri Oct 09 2020,939,672,57681,1.17816813
Sat Oct 10 2020,809,694,58490,0.861554846
Sun Oct 11 2020,649,706,59139,0.802224969
Mon Oct 12 2020,807,733,59946,1.243451464
Tue Oct 13 2020,746,761,60692,0.9244114
Wed Oct 14 2020,721,781,61413,0.966487936
Thu Oct 15 2020,783,779,62196,1.085991678
Fri Oct 16 2020,712,747,62908,0.909323116
Sat Oct 17 2020,805,746,63713,1.130617978
Sun Oct 18 2020,658,747,64371,0.817391304
Mon Oct 19 2020,704,733,65075,1.069908815
Tue Oct 20 2020,821,743,65896,1.166193182
Wed Oct 21 2020,790,753,66686,0.962241169
Thu Oct 22 2020,841,762,67527,1.064556962
Fri Oct 23 2020,826,778,68353,0.98216409
Sat Oct 24 2020,978,803,,1.18401937
Sun Oct 25 2020,1042,857,,1.065439673
Mon Oct 26 2020,851,878,,0.816698656
Tue Oct 27 2020,827,879,,0.971797885
Wed Oct 28 2020,834,886,,1.008464329
Thu Oct 29 2020,934,899,,1.119904077
Fri Oct 30 2020,896,909,,0.959314775
Sat Oct 31 2020,1015,914,,1.1328125
Sun Nov 01 2020,977,905,,0.962561576
Mon Nov 02 2020,948,919,,0.970317298
Tue Nov 03 2020,1050,951,,1.107594937
Wed Nov 04 2020,987,972,,0.94
Thu Nov 05 2020,998,982,,1.011144883
Fri Nov 06 2020,1003,997,,1.00501002
Sat Nov 07 2020,1132,1014,,1.128614158
Sun Nov 08 2020,1328,1064,,1.173144876
Mon Nov 09 2020,1242,1106,,0.935240964
